station,date,obs,pred
고령,2017-03-21,23.500000000000004,32.5991096496582
고령,2017-09-12,54.89999999999998,32.60457229614258
고령,2017-11-21,23.600000000000005,9.610872268676758
고령,2018-01-10,13.4,14.51586627960205
고령,2018-02-14,19.499999999999996,20.229026794433594
고령,2018-03-06,34.20000000000001,56.56145095825195
고령,2018-04-10,24.500000000000004,20.53970718383789
고령,2018-04-25,31.599999999999998,44.193153381347656
고령,2018-10-02,10.5,8.212145805358887
고령,2018-10-17,12.599999999999996,14.20668888092041
고령,2018-11-06,36.20000000000001,25.31366729736328
고령,2019-10-22,15.3,12.657527923583984
고령,2020-02-04,26.89999999999999,22.31935691833496
고령,2020-04-14,43.099999999999994,35.79200744628906
고령,2020-06-23,29.199999999999992,37.2183723449707
고령,2020-11-10,46.39999999999999,55.263336181640625
고령,2020-12-15,29.199999999999992,23.762046813964844
고령,2021-03-10,42.400000000000006,41.87220001220703
고령,2022-01-04,7.999999999999998,10.719329833984375
고령,2022-03-15,15.3,17.777143478393555
고령,2022-04-19,22.499999999999996,24.703311920166016
고령,2022-05-24,4.9,13.034785270690918
고령,2022-11-15,14.899999999999997,6.11886739730835
고령,2022-12-20,24.400000000000002,30.93316078186035
고령,2023-05-09,6.4,5.612832069396973
고령,2023-10-11,24.3,25.201290130615234
고령,2023-12-05,17.7,24.52628517150879
고령,2024-01-24,27.500000000000004,26.69985008239746
고령,2024-08-06,12.300000000000002,35.2846565246582
고령,2024-09-10,192.50000000000006,43.70652770996094
고령,2024-11-19,3.0000000000000004,21.68876075744629
고령,2025-05-08,6.299999999999999,10.670214653015137
구미,2017-08-28,17.8,41.571861267089844
구미,2018-01-15,6.200000000000001,10.677718162536621
구미,2018-05-15,23.299999999999997,8.498756408691406
구미,2018-10-02,30.099999999999998,33.72755432128906
구미,2018-11-26,36.099999999999994,26.026742935180664
구미,2019-01-15,16.400000000000002,10.380093574523926
구미,2019-04-15,17.899999999999995,22.62869644165039
구미,2020-06-08,3.1,9.339080810546875
구미,2020-10-06,15.0,6.373269557952881
구미,2020-10-26,55.000000000000014,47.53538131713867
구미,2021-06-08,51.70000000000001,23.173908233642578
구미,2022-04-19,13.2,6.726180076599121
구미,2022-05-24,9.2,22.881919860839844
구미,2022-08-22,29.799999999999997,30.590299606323242
구미,2022-10-11,60.300000000000004,35.98326110839844
구미,2023-05-09,8.5,8.54541015625
구미,2023-10-11,10.8,12.953876495361328
구미,2023-11-20,8.9,13.315556526184082
구미,2024-01-24,33.10000000000001,27.127962112426758
구미,2024-02-13,37.1,33.1666374206543
구미,2024-02-28,5.3,6.1337199211120605
구미,2024-06-12,38.699999999999996,29.832746505737305
구미,2024-10-10,15.400000000000002,36.67277526855469
구미,2024-10-30,31.900000000000002,39.4256477355957
구미,2025-03-19,9.8,5.510796546936035
구미,2025-05-28,10.5,8.384121894836426
구미,2025-07-09,29.89999999999999,30.61285972595215
구미,2025-08-21,27.400000000000002,21.896503448486328
구포,2018-02-14,44.199999999999996,24.99034881591797
구포,2018-05-10,23.400000000000002,23.485008239746094
구포,2018-10-17,9.8,14.577980995178223
구포,2019-05-30,7.1000000000000005,19.5336971282959
구포,2019-11-06,43.0,50.68405532836914
구포,2020-02-24,36.800000000000004,28.709016799926758
구포,2020-03-25,31.1,23.122867584228516
구포,2020-06-23,42.29999999999999,63.70496368408203
구포,2021-02-03,61.89999999999999,49.69474411010742
구포,2021-03-10,44.50000000000001,28.42372703552246
구포,2021-04-14,26.299999999999997,13.038435935974121
